,commentText,commentClassification,length
2680,shouldn t this be for the back button,buggycode suggestion,37
2681,not the appropriate message . please check with product on this,logical suggestion,63
2684,same here bypass rolelevel ,buggycode suggestion,27
2685,remove unnecessory extend of basedata,refactoring suggestion,37
2686,please make alaignment proper .,refactoring suggestion,31
2687,should the roundto value be empty string ?,questioning,42
2688,please use constants,buggycode suggestion,20
2689,please get it verified and update pr will merge after verification .,completeness suggestion,68
2690,please remove extra full stop .,refactoring suggestion,31
2692,then why we are getting tax ?,questioning,29
2693,can we rename tmp to currentholderwisecondition will be more meaningful .,spelling suggestion,73
2694,spaces after and before for this and following lines where changes are there .,refactoring suggestion,78
2695,why are we deleting invoice here ? during validation itself ?,buggycode suggestion,61
2696,foriegn key changes .,buggycode suggestion,21
2697,why are ids hardcoded here ? how will work in prod ?,buggycode suggestion,52
2698,ok i wil create sepearete bug for that . .here we can merge ,logistics suggestion,60
2699,why this ?,questioning,10
2700,please resolve conflict,logistics suggestion,23
2701, f ea d fb a f c don t we need drilldown implementation in sub query playground ?,questioning,81
2702,check the query log and show the explain command what we executing .,completeness suggestion,68
2703,this might lead to double addition of tax for sale return without invoice .,buggycode suggestion,75
2704,please change it to pda,code suggestion,23
2707,remove unnecessary tabs .,refactoring suggestion,25
2709, aaf e a d e b c d d db please check this once,buggycode suggestion,46
2710,delete commented code,refactoring suggestion,21
2711,merging as code is simple and a fall back if data isn t present .,logistics suggestion,65
2712,please address the comment .,completeness suggestion,28
2713,if rolespecific id not set then we are throwing the error or not .,buggycode suggestion,66
2714,why we are hardcoding with vh ? how this will work in embedded mode like inside iframe bizom ,buggycode suggestion,93
2715,why this change ?,questioning,17
2716,why is this a field ?,questioning,21
2717, ffc ed dbf da ae please take care of variable naming . companyoutlets .map companyoutlet index ,spelling suggestion,96
2718,this single line would be sufficient to get nearest ten . int math .round num . please check once .,code suggestion,99
2720,we should use mapstruct for this,code suggestion,32
2721,please get all the actions tested by c fe ea c cd ee and by other teams which uses actions,completeness suggestion,90
2722,already above you are using math .round what is the use of tofixed here ?,questioning,73
2723,don t need ? please cleanup,refactoring suggestion,27
2724,it won t work as we need to run pipeline again update to ,buggycode suggestion,57
2725,yes it will return .,logical suggestion,20
2726,why this space ?,refactoring suggestion,16
2727,please don t hard code the url . in future the region can change .,buggycode suggestion,66
2729,here we can add individualy for outlet type present or warehouse type present in option also na .,logical suggestion,97
2730,please remove unnecessary space they take bytes each .,refactoring suggestion,54
2731,you can just directly return . no need to put it in constructor,logical suggestion,63
2732,please remove the comments .,refactoring suggestion,28
2734,still no information for this ?,completeness suggestion,31
2735,please write the reverse way of this . code will be hard to read for people in future .,code suggestion,87
2736,please get it verified and update r for merge .,completeness suggestion,47
2738,use find first .,code suggestion,16
2740,please validate the function by client secret key,completeness suggestion,49
2741, this dependency not required now . we can get required hooks in apollo client now .,code suggestion,84
2743,a mapper should remove this boiler plate code company companyresponse .,code suggestion,71
2744,please resolve conflicts,logistics suggestion,24
2745,settingname input is not provided,buggycode suggestion,33
2746,add this outside the if loop and maintain the indentation .,refactoring suggestion,59
2748,please create pr for dev branch .,logistics suggestion,33
2749,please resolve conflicts to merge this .,logistics suggestion,40
2750,you can add payment and cube related tables for joins,logical suggestion,53
2751,the pr has been declined .,logistics suggestion,26
2753, returnproductimage note change component and filename,code suggestion,54
2754,space after and before space after and before .,refactoring suggestion,47
2755,why we need !important here ? not recommended at all .,buggycode suggestion,54
2756,please complete handling properly,buggycode suggestion,33
2757,this is going to release after rd .,logistics suggestion,35
2758,should fail here,buggycode suggestion,16
2759, e a b fe a c ad c what about cleaning up old apis ? ,refactoring suggestion,53
2760,no need to keep oncompleted and onerror if no use .,code suggestion,51
2764,are we using this anywehre ? paymentdata loadoutsheet id loadoutsheetid ,code suggestion,72
2766,add indentation,refactoring suggestion,15
2767,make here also with warehouse id group for all its skunit ids . then or conditions .,code suggestion,84
2769,is it possible to take input parameter actionid as long ?,questioning,57
2771,can we check if the query is using index as this is using or condition .,code suggestion,72
2772,we can delete this line na .,refactoring suggestion,28
2773, const paginate setpaginate usestate false ,code suggestion,43
2774,why is company id being used here ?,questioning,35
2775,why space,refactoring suggestion,9
2777,use tabs for indentation .,refactoring suggestion,26
2778,undefined error will come here .,buggycode suggestion,32
2779,please correct indentation,refactoring suggestion,26
2780,we can use map struct for this,code suggestion,30
2782,please rename the function . it is not clear what you are validating by key ?,spelling suggestion,77
2785,resolve the conflict if this needs to be merged,logistics suggestion,47
